,index,id,mssubclass,mszoning,lotfrontage,lotarea,lotshape,landcontour,lotconfig,landslope,neighborhood,condition1,bldgtype,housestyle,overallqual,overallcond,yearbuilt,roofstyle,masvnrtype,masvnrarea,exterqual,foundation,bsmtqual,bsmtexposure,bsmtfintype1,bsmtfinsf1,bsmtunfsf,heatingqc,grlivarea,bsmtfullbath,fullbath,halfbath,bedroomabvgr,kitchenabvgr,kitchenqual,functional,fireplaces,fireplacequ,garagetype,garagefinish,garagearea,garagecond,wooddecksf,mosold,yrsold,saleprice,porchpres,poolpres,garagepres,fireplacepres,masvnrpres,bsmtpres,shedpres,exterior,age_sold,remodelled,2ndfloorpres,bighouse
10,10,1044,160,RM,3.9325102940665544,13.644922232663887,0.0,Lvl,Inside,flat,BrDale,Norm,Twnhs,2Story,6,2.055641538058108,14.13723429091449,Gable,BrkFace,8.434556620289202,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,ALQ,9.63505597602595,6.574446614595114,1.5409627556327752,12.088558507481578,0.0,1,0.7304631471189666,1.1943176378757767,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,264.0,TA,0.0,2.440268378362637,2008,29.945732141228834,0,0,1,0,1,1,0,Wood,4.838059349133916,0.0,1,0.0
11,11,2752,20,RL,5.80273872401839,18.74729178251785,0.7304631471189666,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,7,2.055641538058108,14.19064737641105,Gable,None,0.0,1.8203341036428238,PConc,1.8203341036428238,1.5409627556327752,GLQ,9.672623079178159,11.558112087473278,2.055641538058108,12.665150811025393,0.0,2,0.0,1.1943176378757767,0.7304631471189666,1.8203341036428238,Typ,0.0,0,Attchd,RFn,632.0,TA,6.751853423240825,1.1943176378757767,2006,34.40005145743166,1,0,1,0,0,1,0,Vinyl,0.7304631471189666,0.0,0,0.0
12,12,807,70,RL,7.020909424392293,24.034282142960297,0.0,Bnk,FR2,flat,SawyerW,Feedr,1Fam,2Story,5,2.440268378362637,13.990324332355753,Gable,None,0.0,1.8203341036428238,PConc,0.0,0.0,None,0.0,0.0,2.055641538058108,14.207763345943876,0.0,1,0.0,1.8203341036428238,0.7304631471189666,1.5409627556327752,Mod,0.7304631471189666,3,Attchd,Unf,576.0,TA,0.0,2.2596737867230705,2009,32.372445523165375,0,0,1,1,0,0,0,Wood,7.1690048896756915,1.0,1,0.0
13,13,1177,160,FV,4.137710644618417,15.075219466544512,0.0,Lvl,Inside,flat,Somerst,Norm,Twnhs,2Story,8,2.055641538058108,14.18127774085417,Gable,BrkFace,10.040244790550664,1.8203341036428238,PConc,1.8203341036428238,0.7304631471189666,GLQ,11.551404811134226,7.440766394665014,2.055641538058108,13.510103528986564,0.7304631471189666,2,0.7304631471189666,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,0.0,0,Detchd,Unf,480.0,TA,7.737100057498759,3.128238685769432,2008,34.93048235199793,0,0,1,0,1,1,0,Metal,2.750250297485029,1.0,1,0.0
14,14,1480,20,RL,6.07328940298831,19.723318929836054,0.0,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,7,2.055641538058108,14.193765294899782,Gable,None,0.0,1.8203341036428238,PConc,1.8203341036428238,1.5409627556327752,GLQ,4.137710644618417,12.939308679819499,2.055641538058108,13.01379613893307,0.0,2,0.0,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,0.0,0,Attchd,RFn,610.0,TA,0.0,2.2596737867230705,2008,34.70877805788025,1,0,1,0,0,1,0,Vinyl,0.7304631471189666,0.0,0,0.0
15,15,324,20,RL,6.512195594586373,19.919371507686378,0.0,Lvl,Inside,flat,Mitchel,Norm,1Fam,1Story,5,2.055641538058108,14.189087426187385,Gable,None,0.0,1.5409627556327752,PConc,2.055641538058108,1.5409627556327752,Unf,0.0,13.160227391272157,2.055641538058108,13.160227391272157,0.0,2,0.0,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,0.0,0,Attchd,RFn,624.0,TA,0.0,1.5409627556327752,2010,34.05298350727164,0,0,1,0,0,1,0,Vinyl,2.2596737867230705,1.0,0,0.0
16,16,1311,70,RM,4.697012078927853,16.93402191093838,0.0,Lvl,Inside,flat,OldTown,Norm,1Fam,2Story,5,2.055641538058108,14.049149951577919,Gable,None,0.0,1.5409627556327752,BrkTil,1.5409627556327752,0.7304631471189666,Unf,0.0,10.843518696025114,1.1943176378757767,12.97675247894356,0.0,1,0.0,1.8203341036428238,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,513.0,Fa,0.0,2.055641538058108,2008,30.70937601422538,1,0,1,0,0,1,0,Aesbestos,6.491069783799412,1.0,1,0.0
17,17,770,20,RL,6.221213632878419,19.377284182474092,0.0,Lvl,Corner,flat,Sawyer,Feedr,1Fam,1Story,5,2.2596737867230705,14.124552834680129,Gable,None,0.0,1.5409627556327752,PConc,1.5409627556327752,0.7304631471189666,Rec,10.9549553054922,10.11603509640564,1.5409627556327752,12.449802007625077,0.7304631471189666,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,480.0,TA,0.0,2.2596737867230705,2009,32.72110663438464,1,0,1,0,0,1,0,Vinyl,5.210789042972047,0.0,0,0.0
18,18,2063,20,RL,5.995517194712504,19.094464449095522,0.0,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,6,2.055641538058108,14.146716717260457,Gable,BrkFace,7.4550235803134814,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,Unf,0.0,10.991229546699314,2.055641538058108,12.84502328410502,0.0,1,0.7304631471189666,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,3,Attchd,RFn,528.0,TA,7.308627591436396,1.8203341036428238,2007,32.9097965090213,0,0,1,1,1,1,0,Wood,4.492017742920502,0.0,0,0.0
19,19,69,60,FV,6.02174235239564,19.29863315203156,0.0,Lvl,Inside,flat,Somerst,Norm,1Fam,2Story,7,2.055641538058108,14.196880574832942,Gable,None,0.0,1.5409627556327752,PConc,1.8203341036428238,1.1943176378757767,GLQ,4.137710644618417,11.267216541031873,2.055641538058108,13.39534064687736,0.0,2,0.7304631471189666,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,0.0,0,Attchd,Unf,614.0,TA,7.737100057498759,2.2596737867230705,2010,35.39005184451337,1,0,1,0,0,1,0,Vinyl,0.7304631471189666,0.0,1,0.0
20,20,2062,20,RL,6.826616787891752,19.336339339140366,0.0,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,5,2.055641538058108,14.132483878148479,Gable,None,0.0,1.5409627556327752,CBlock,1.8203341036428238,0.7304631471189666,BLQ,10.231351739686412,9.72807198077492,1.8203341036428238,11.812492076604793,0.0,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,1,Attchd,Fin,450.0,TA,0.0,2.055641538058108,2007,32.2824580531938,0,0,1,1,0,1,0,Vinyl,4.9269180446816625,0.0,0,0.0
21,21,351,120,RL,4.969939052451073,17.705196326982257,0.7304631471189666,Lvl,Inside,flat,StoneBr,Norm,TwnhsE,1Story,8,2.055641538058108,14.182841004523032,Gable,None,0.0,1.8203341036428238,PConc,1.8203341036428238,0.7304631471189666,GLQ,12.543063139022069,9.343376664189085,2.055641538058108,13.606657006574858,0.7304631471189666,2,0.0,1.1943176378757767,0.7304631471189666,2.055641538058108,Typ,0.7304631471189666,5,Attchd,Fin,499.0,TA,8.232627042257835,2.885846472488202,2009,37.03678058003295,1,0,1,1,0,1,0,Aggregate,2.750250297485029,0.0,0,0.0
22,22,2393,60,RL,6.7135683558601436,20.896899056142534,0.7304631471189666,Lvl,Corner,flat,NridgHt,Norm,1Fam,2Story,8,2.055641538058108,14.19064737641105,Gable,None,0.0,1.8203341036428238,PConc,2.055641538058108,1.5409627556327752,Unf,0.0,12.667548456834874,2.055641538058108,14.558535117787148,0.0,2,0.7304631471189666,1.5409627556327752,0.7304631471189666,2.055641538058108,Typ,0.7304631471189666,4,Attchd,Fin,575.0,TA,8.539411368803783,2.440268378362637,2006,38.45840226369041,1,0,1,1,0,1,0,Aggregate,0.7304631471189666,1.0,1,0.0
23,23,12,20,RL,5.7737732204907655,18.99101056901641,0.7304631471189666,Lvl,Inside,flat,Gilbert,Norm,1Fam,1Story,6,2.440268378362637,14.170316253871071,Gable,None,0.0,1.5409627556327752,PConc,1.8203341036428238,0.7304631471189666,ALQ,11.937067204936257,8.444260751716477,2.055641538058108,12.614406694149686,0.7304631471189666,2,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Attchd,Fin,420.0,TA,10.184716170074022,1.5409627556327752,2010,34.446871428364496,1,0,1,0,0,1,1,Wood,3.7019729772844623,1.0,0,0.0
24,24,2339,190,RL,6.65495044352145,25.312423742795367,0.0,Bnk,Inside,flat,Gilbert,Norm,2fmCon,1Story,5,2.055641538058108,14.111827394891495,Hip,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,1.1943176378757767,Rec,12.27944047919781,0.0,1.5409627556327752,12.27944047919781,0.7304631471189666,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Attchd,Fin,572.0,TA,8.72889799237455,0.7304631471189666,2006,32.97157585812088,0,0,1,0,0,1,0,Wood,5.392276337227255,0.0,0,0.0
25,25,624,20,RL,6.491069783799412,20.096939891631607,0.7304631471189666,Lvl,Corner,flat,NAmes,Norm,1Fam,1Story,6,2.2596737867230705,14.121375611147648,Hip,BrkFace,1.5409627556327752,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,Rec,12.905930143686216,7.353461784034922,2.055641538058108,13.207704757831017,0.7304631471189666,2,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,3,Attchd,RFn,530.0,TA,0.0,1.8203341036428238,2009,34.52973455462824,1,0,1,1,1,1,0,Metal,5.285266416806648,0.0,0,0.0
26,26,86,20,RL,5.831327892742091,19.212182313188084,0.0,Lvl,Inside,flat,Sawyer,RRAe,1Fam,1Story,5,2.6025944687727294,14.127727309259253,Gable,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,GLQ,10.529640959867622,8.355622538951035,2.055641538058108,11.812492076604793,0.7304631471189666,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,4,Detchd,Unf,336.0,TA,9.812268655479881,1.8203341036428238,2010,32.69982182965249,1,0,1,1,0,1,0,Metal,5.172534928709971,1.0,0,0.0
27,27,1534,50,RL,5.80273872401839,20.50662108948063,0.7304631471189666,HLS,Inside,sloped,Crawfor,Norm,1Fam,1.5Fin,5,2.2596737867230705,14.083032607355737,Gable,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,BLQ,10.766932023929055,9.294080796212425,2.055641538058108,14.084638269147439,0.0,2,0.0,1.8203341036428238,0.7304631471189666,1.8203341036428238,Min2,0.7304631471189666,4,Detchd,Unf,240.0,TA,0.0,2.440268378362637,2008,34.86782011426877,1,0,1,1,0,1,0,Wood,5.995517194712504,1.0,1,0.0
28,28,2243,190,C (all),6.098626104970388,19.11937790480516,0.0,Lvl,Inside,flat,IDOTRR,Feedr,2fmCon,2Story,5,2.2596737867230705,14.01495031751875,Gable,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,Unf,0.0,12.00201143263362,1.1943176378757767,14.168747656702982,0.0,2,0.0,1.8203341036428238,1.1943176378757767,1.5409627556327752,Typ,0.0,0,None,None,0.0,None,0.0,2.2596737867230705,2007,31.842929338950597,1,0,0,0,0,1,0,Vinyl,6.881187323763808,1.0,1,0.0
29,29,1957,50,RL,5.684506656824126,19.031337589140634,0.0,Lvl,Corner,flat,NAmes,Artery,1Fam,1.5Fin,5,2.440268378362637,14.102254250439458,Gable,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,1.1943176378757767,Unf,0.0,11.038947685692156,2.055641538058108,11.904107164106826,0.0,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,1,Detchd,Unf,576.0,TA,0.0,2.440268378362637,2007,32.00047356440313,0,0,1,1,0,1,1,Metal,5.62289923231481,1.0,1,0.0
30,30,380,20,RL,6.221213632878419,19.71220477890197,0.0,Lvl,Inside,flat,NWAmes,PosN,1Fam,1Story,8,2.055641538058108,14.153024760995686,Hip,None,0.0,1.8203341036428238,PConc,1.8203341036428238,0.7304631471189666,ALQ,12.406073076096677,13.139382491912789,1.5409627556327752,14.923099981574879,0.7304631471189666,2,0.7304631471189666,1.8203341036428238,0.7304631471189666,1.8203341036428238,Typ,0.7304631471189666,4,Attchd,Fin,542.0,TA,10.137337571032825,2.440268378362637,2009,37.03678058003295,1,0,1,1,0,1,0,Brick,4.3809460334448715,0.0,0,0.0
31,31,2860,70,RL,5.80273872401839,20.41340834119558,0.7304631471189666,HLS,Corner,sloped,Crawfor,Norm,1Fam,2Story,8,2.440268378362637,14.070161898256476,Gable,None,0.0,1.5409627556327752,PConc,1.8203341036428238,0.7304631471189666,Unf,0.0,11.480119387602214,1.1943176378757767,13.33653469002764,0.0,1,0.0,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,1.1943176378757767,4,Detchd,Unf,400.0,TA,0.0,2.2596737867230705,2006,35.81173816751385,0,0,1,1,0,1,0,Brick,6.148460831341732,1.0,1,0.0
32,32,2517,120,RL,4.492017742920502,19.691138698287737,0.7304631471189666,Lvl,CulDSac,flat,Veenker,Norm,TwnhsE,1Story,8,2.055641538058108,14.175018034740056,Hip,None,0.0,1.8203341036428238,PConc,1.8203341036428238,1.5409627556327752,LwQ,9.934165447113983,0.0,2.055641538058108,13.290777357050557,0.7304631471189666,1,0.7304631471189666,1.1943176378757767,0.7304631471189666,2.055641538058108,Typ,0.7304631471189666,4,Attchd,Fin,481.0,TA,0.0,1.8203341036428238,2006,36.84578429477031,1,0,1,1,0,1,0,Brick,3.011340243262834,1.0,0,0.0
33,33,1933,20,RL,5.684506656824126,20.237949946160803,0.0,Lvl,Inside,flat,NAmes,Norm,1Fam,1Story,6,2.2596737867230705,14.107043947541124,Hip,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,ALQ,9.956818543247373,10.307493576715228,1.5409627556327752,11.975598145540113,0.0,1,0.0,1.1943176378757767,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,410.0,TA,0.0,1.8203341036428238,2007,32.098866729944746,1,0,1,0,0,1,0,Wood,5.5270737381589985,0.0,0,0.0
34,34,820,20,RL,6.1972210008779385,20.121175957869582,0.0,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,8,2.055641538058108,14.193765294899782,Hip,Stone,9.294080796212425,1.8203341036428238,PConc,2.055641538058108,1.8203341036428238,GLQ,12.851844098897303,9.818190297580122,2.055641538058108,13.713142942198777,0.7304631471189666,2,0.0,1.5409627556327752,0.7304631471189666,1.8203341036428238,Typ,0.7304631471189666,4,Attchd,RFn,826.0,TA,8.190318298434116,2.750250297485029,2009,37.47232703113832,1,0,1,1,1,1,0,Vinyl,1.1943176378757767,1.0,0,0.0
35,35,675,20,RL,6.221213632878419,19.458096087785453,0.7304631471189666,HLS,Inside,sloped,NAmes,Norm,1Fam,1Story,6,2.2596737867230705,14.116604610212223,Flat,BrkFace,6.268453117386751,1.5409627556327752,CBlock,1.8203341036428238,1.8203341036428238,Unf,0.0,7.620056264664793,1.1943176378757767,12.50304918615027,0.0,1,0.0,1.1943176378757767,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,4,Basment,RFn,384.0,TA,0.0,1.8203341036428238,2009,31.541719468441272,1,0,1,1,1,1,0,Wood,5.392276337227255,0.0,0,0.0
36,36,2910,160,RM,5.0120772195485275,15.09979131052407,0.0,Lvl,Inside,flat,MeadowV,Norm,TwnhsE,2Story,5,2.2596737867230705,14.146716717260457,Gable,None,0.0,1.5409627556327752,PConc,1.5409627556327752,0.7304631471189666,ALQ,10.506270963009685,4.792129643835174,2.055641538058108,13.252524269153676,0.0,2,0.0,1.8203341036428238,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,3,Attchd,RFn,336.0,TA,6.732788372480494,2.440268378362637,2006,32.191276794159954,1,0,1,1,0,1,0,Aggregate,4.4372688011897266,0.0,1,0.0
37,37,21,20,RL,6.751853423240825,20.52435389975895,0.7304631471189666,Lvl,Inside,flat,NWAmes,Norm,1Fam,1Story,6,2.2596737867230705,14.146716717260457,Hip,BrkFace,10.169007130464756,1.5409627556327752,CBlock,1.8203341036428238,0.7304631471189666,BLQ,11.16654014453778,12.495493621556072,2.055641538058108,13.930533830342009,0.0,2,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,3,Attchd,RFn,546.0,TA,0.0,0.7304631471189666,2010,34.61166383281241,1,0,1,1,1,1,0,Wood,4.6477085871174175,0.0,0,0.0
38,38,1873,20,RL,6.221213632878419,19.71220477890197,0.0,Lvl,Inside,flat,NWAmes,Norm,1Fam,1Story,7,2.2596737867230705,14.140397821243571,Hip,BrkFace,9.178050664421775,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,ALQ,11.879926320493967,9.222126215438918,1.1943176378757767,12.745741320974158,0.0,1,0.7304631471189666,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.7304631471189666,3,Attchd,Unf,528.0,TA,0.0,2.750250297485029,2007,34.123049213129605,0,0,1,1,1,1,0,Wood,4.697012078927853,0.0,0,0.0
39,39,2125,20,RL,5.684506656824126,19.202065778044958,1.1943176378757767,Lvl,Inside,flat,CollgCr,Norm,1Fam,1Story,5,2.440268378362637,14.173451442269636,Gable,None,0.0,1.5409627556327752,PConc,1.8203341036428238,0.7304631471189666,GLQ,9.835883259370169,10.607780484836361,2.055641538058108,12.097089863928765,0.7304631471189666,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,384.0,TA,8.6582707430638,2.440268378362637,2007,33.01246097679436,0,0,1,0,0,1,0,Vinyl,3.2377281976988326,0.0,0,0.0
40,40,1489,20,RL,6.098626104970388,19.849063437121742,0.0,Lvl,Inside,flat,Edwards,Norm,1Fam,1Story,5,2.2596737867230705,14.127727309259253,Gable,None,0.0,1.8203341036428238,CBlock,1.5409627556327752,0.7304631471189666,BLQ,11.607976032768192,7.278278985320871,1.8203341036428238,12.778381918023664,0.7304631471189666,1,0.7304631471189666,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Attchd,Fin,276.0,TA,11.281862458951347,2.2596737867230705,2008,33.07334457666385,1,0,1,0,0,1,0,Wood,5.093856518007759,0.0,0,0.0
41,41,2383,20,RL,6.789529331141852,21.215303433656715,0.0,Lvl,Inside,flat,NridgHt,Norm,1Fam,1Story,10,2.055641538058108,14.192206665778837,Gable,None,0.0,2.055641538058108,PConc,2.055641538058108,1.8203341036428238,GLQ,13.067564449390803,11.109186247385459,2.055641538058108,14.299750150716978,0.7304631471189666,2,0.7304631471189666,1.1943176378757767,0.7304631471189666,2.055641538058108,Typ,0.7304631471189666,4,Attchd,Fin,850.0,TA,8.274265741119429,2.750250297485029,2006,40.54255322254359,1,0,1,1,0,1,0,Vinyl,0.0,0.0,0,0.0
42,42,983,85,RL,6.07328940298831,19.50185962777446,0.7304631471189666,Lvl,Corner,flat,Mitchel,Norm,1Fam,SFoyer,5,2.2596737867230705,14.1482947440103,Gable,BrkFace,6.732788372480494,1.5409627556327752,PConc,1.8203341036428238,1.5409627556327752,GLQ,12.387900672947353,0.0,2.055641538058108,12.421571705312678,0.7304631471189666,1,0.0,0.7304631471189666,0.7304631471189666,1.8203341036428238,Typ,0.7304631471189666,3,Attchd,Fin,602.0,TA,9.049252213846536,2.440268378362637,2009,33.765669391427565,1,0,1,1,1,1,0,Wood,4.545285536716194,0.0,0,0.0
43,43,1325,50,RM,6.244955797756471,20.66087367384476,0.0,Lvl,Inside,flat,OldTown,Norm,1Fam,1.5Fin,5,2.055641538058108,14.110233605762662,Gable,BrkFace,9.286967630227565,1.5409627556327752,BrkTil,1.5409627556327752,0.7304631471189666,Unf,0.0,12.263269450298049,2.055641538058108,13.847538317014754,0.0,2,0.0,1.8203341036428238,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Attchd,Unf,352.0,TA,0.0,3.011340243262834,2008,32.394759819152235,0,0,1,0,1,1,0,Metal,5.494161288893169,0.0,1,0.0
44,44,1378,20,RL,5.968980585391403,20.329199132676486,0.0,Lvl,Inside,flat,Sawyer,Norm,1Fam,1Story,5,2.055641538058108,14.127727309259253,Hip,None,0.0,1.5409627556327752,CBlock,1.5409627556327752,0.7304631471189666,Rec,11.849446822580239,7.247551425168361,2.055641538058108,12.236142518909933,0.7304631471189666,1,0.0,1.5409627556327752,0.7304631471189666,1.5409627556327752,Typ,0.0,0,Detchd,Unf,384.0,TA,0.0,1.1943176378757767,2008,32.305065504551344,0,0,1,0,0,1,0,Wood,5.093856518007759,0.0,0,0.0
